tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-540,Wimbledon,Grass,128,G,O,20260702,90,GC88,,,Marcos Giron,R,180,USA,32.939,92,680,HB64,,,Quentin Halys,R,191,FRA,29.681,95,666,7-6(5) 6-3 6-4,5,R64,130,8,4,110,90,62,7,16,6,8,9,4,96,77,43,11,15,4,8
2026-540,Wimbledon,Grass,128,G,O,20260702,91,MU94,,,Jaume Munar,R,183,ESP,29.158,44,1075,F0BY,,WC,Jacob Fearnley,R,183,GBR,24.964,159,362,6-4 7-6(3) 6-4,5,R64,171,15,2,107,69,56,16,16,8,10,3,8,117,74,49,20,16,5,9
2026-540,Wimbledon,Grass,128,G,O,20260702,92,S0K7,,,Zachary Svajda,R,175,USA,23.589,66,855,MQ75,,,Kamil Majchrzak,R,183,POL,30.467,45,1032,2-6 6-2 6-7(5) 6-4 6-3,5,R64,167,11,7,147,99,69,27,23,9,12,14,3,128,106,71,16,24,4,10
2026-540,Wimbledon,Grass,128,G,O,20260702,93,L0BV,13,,Jiri Lehecka,R,185,CZE,24.647,14,2360,MV14,,,Alex Molcan,L,178,SVK,28.583,101,639,6-3 6-2 6-4,5,R64,128,24,2,100,59,47,14,13,7,9,3,3,88,49,28,17,13,2,8
2026-540,Wimbledon,Grass,128,G,O,20260702,94,BK92,10,,Alexander Bublik,R,196,KAZ,29.041,11,2620,J0AZ,,Q,Kyrian Jacquet,R,175,FRA,25.142,139,433,6-3 6-4 7-6(5),5,R64,109,15,2,95,61,51,18,16,7,9,8,3,95,45,37,23,15,4,8
2026-540,Wimbledon,Grass,128,G,O,20260702,95,TD51,17,,Frances Tiafoe,R,188,USA,28.447,19,2180,CH12,,,Jan Choinski,R,196,GBR,30.056,100,657,4-6 6-2 7-5 6-2,5,R64,181,9,5,139,84,64,28,19,11,12,11,2,119,75,51,20,19,6,11
2026-540,Wimbledon,Grass,128,G,O,20260702,96,D875,,WC,Grigor Dimitrov,R,191,BUL,35.129,146,407,M0NI,15,,Jakub Mensik,R,196,CZE,20.833,18,2255,7-6(5) 4-6 7-5 6-3,5,R64,206,8,6,131,93,68,20,19,12,14,27,4,128,103,73,14,19,5,6
2026-540,Wimbledon,Grass,128,G,O,20260703,97,SX50,,Q,Roman Safiullin,R,185,RUS,28.903,132,458,F0FV,24,,Joao Fonseca,R,188,BRA,19.866,27,1710,6-3 6-3 6-3,5,R32,112,1,0,83,58,45,13,13,5,5,4,1,97,74,45,9,12,11,15
2026-540,Wimbledon,Grass,128,G,O,20260703,98,M0HU,,Q,Shintaro Mochizuki,R,175,JPN,23.085,151,397,J0DZ,23,,Rafael Jodar,R,191,ESP,19.792,26,1839,1-6 7-6(5) 6-4 6-4,5,R32,179,1,3,114,54,37,27,17,6,13,12,4,133,80,47,26,19,12,19
2026-540,Wimbledon,Grass,128,G,O,20260703,99,D643,7,,Novak Djokovic,R,188,SRB,39.115,8,3760,RC91,25,,Arthur Rinderknech,R,196,FRA,30.946,28,1683,7-5 6-4 1-6 7-6(4),5,R32,186,12,3,109,78,53,23,20,2,5,20,4,108,68,56,26,21,6,9
2026-540,Wimbledon,Grass,128,G,O,20260703,100,S0AG,1,,Jannik Sinner,R,191,ITA,24.879,1,13450,B0CD,,,Jenson Brooksby,R,193,USA,25.684,81,720,6-4 6-3 6-4,5,R32,131,13,2,80,54,45,11,14,3,5,3,4,91,61,38,12,15,7,13
2026-540,Wimbledon,Grass,128,G,O,20260703,101,SL28,,,Jan-Lennard Struff,R,193,GER,36.189,74,804,MM58,8,,Daniil Medvedev,R,198,RUS,30.39,9,3580,7-6(4) 7-6(5) 7-5,5,R32,174,11,2,135,82,60,21,18,8,12,10,9,116,74,48,23,18,4,9
2026-540,Wimbledon,Grass,128,G,O,20260703,102,HB71,,,Hubert Hurkacz,R,196,POL,29.388,96,665,PL56,21,,Tommy Paul,R,185,USA,29.128,25,1925,4-6 7-6(5) 7-5 6-2,5,R32,190,20,1,134,79,64,29,21,4,5,6,6,138,80,57,34,21,4,7
2026-540,Wimbledon,Grass,128,G,O,20260703,103,DH50,22,,Alejandro Davidovich Fokina,R,180,ESP,27.077,23,2060,F724,,,Marton Fucsovics,R,188,HUN,34.398,76,781,7-6(3) 6-2 6-3,5,R32,142,7,1,87,65,52,16,15,4,4,7,8,121,64,43,29,14,12,15
2026-540,Wimbledon,Grass,128,G,O,20260703,104,AG37,3,,Felix Auger-Aliassime,R,193,CAN,25.9,29,1680,Z0BZ,,Q,Michael Zheng,R,188,USA,22.431,144,410,7-6(1) 6-2 6-1,5,R32,137,10,3,75,46,42,17,13,2,2,4,1,85,54,31,18,14,5,10
2026-540,Wimbledon,Grass,128,G,O,20260704,105,DH58,5,,Alex de Minaur,R,183,AUS,27.376,6,4110,S0K7,,,Zachary Svajda,R,175,USA,23.595,66,855,6-2 5-7 6-2 6-4,5,R32,161,7,3,116,67,46,29,19,7,11,10,2,121,71,52,15,19,10,18
2026-540,Wimbledon,Grass,128,G,O,20260704,106,C0E9,9,,Flavio Cobolli,R,183,ITA,24.162,10,3460,KE29,19,,Karen Khachanov,R,198,RUS,30.119,22,2080,0-6 7-6(4) 6-7(5) 6-2 6-2,5,R32,238,12,5,166,114,79,24,21,13,16,12,3,145,110,84,14,22,6,9
2026-540,Wimbledon,Grass,128,G,O,20260704,107,Z355,2,,Alexander Zverev,R,198,GER,29.202,3,7190,GC88,,,Marcos Giron,R,180,USA,32.942,92,680,6-2 7-6(4) 6-4,5,R32,155,17,3,96,70,54,14,15,3,4,1,2,112,71,55,14,15,16,20
2026-540,Wimbledon,Grass,128,G,O,20260704,108,L0BV,13,,Jiri Lehecka,R,185,CZE,24.652,14,2360,MU94,,,Jaume Munar,R,183,ESP,29.164,44,1075,6-4 6-4 4-6 6-4,5,R32,175,14,5,113,88,62,9,17,6,8,5,6,118,74,55,21,17,6,9
2026-540,Wimbledon,Grass,128,G,O,20260704,109,F0DM,,WC,Arthur Fery,R,175,GBR,23.978,114,547,BU13,,,Zizou Bergs,R,185,BEL,27.086,37,1250,2-6 7-5 2-6 7-6(3) 7-6(5),5,R32,266,5,4,190,126,88,23,26,5,13,14,14,169,104,77,27,26,4,9
2026-540,Wimbledon,Grass,128,G,O,20260704,110,BK92,10,,Alexander Bublik,R,196,KAZ,29.046,11,2620,TD51,17,,Frances Tiafoe,R,188,USA,28.452,19,2180,4-6 7-6(5) 7-6(11) 4-6 6-3,5,R32,247,48,6,169,116,100,27,27,7,9,12,7,190,113,86,46,26,9,10
2026-540,Wimbledon,Grass,128,G,O,20260704,111,FB98,6,,Taylor Fritz,R,196,USA,28.682,7,3765,SU87,,,Lorenzo Sonego,R,191,ITA,31.149,69,843,4-6 6-3 6-4 7-6(5),5,R32,153,13,1,124,87,69,24,21,4,5,16,2,122,94,70,15,20,2,4
2026-540,Wimbledon,Grass,128,G,O,20260704,112,D875,,WC,Grigor Dimitrov,R,191,BUL,35.135,146,407,BK40,,,Matteo Berrettini,R,196,ITA,30.225,51,985,6-3 6-4 3-6 5-7 6-3,5,R32,211,14,4,131,90,66,30,25,0,3,23,3,144,108,83,13,24,7,11
2026-540,Wimbledon,Grass,128,G,O,20260705,113,D643,7,,Novak Djokovic,R,188,SRB,39.121,8,3760,SX50,,Q,Roman Safiullin,R,185,RUS,28.909,132,458,7-6(6) 6-3 3-6 6-2,5,R16,198,9,3,111,89,61,9,17,10,14,6,2,93,77,51,6,16,4,9
2026-540,Wimbledon,Grass,128,G,O,20260705,114,AG37,3,,Felix Auger-Aliassime,R,193,CAN,25.906,29,1680,DH50,22,,Alejandro Davidovich Fokina,R,180,ESP,27.083,23,2060,6-7(4) 7-6(6) 6-3 6-7(2) 6-1,5,R16,272,27,4,176,114,89,34,27,6,7,10,7,172,120,87,28,25,12,16
2026-540,Wimbledon,Grass,128,G,O,20260705,115,SL28,,,Jan-Lennard Struff,R,193,GER,36.194,74,804,HB71,,,Hubert Hurkacz,R,196,POL,29.394,96,665,3-6 6-7(5) 7-6(2) 7-5 4-2 RET,5,R16,225,24,2,151,91,75,29,25,1,4,34,7,183,121,94,21,26,7,11
2026-540,Wimbledon,Grass,128,G,O,20260705,116,S0AG,1,,Jannik Sinner,R,191,ITA,24.884,1,13450,M0HU,,Q,Shintaro Mochizuki,R,175,JPN,23.091,151,397,6-3 7-6(0) 6-3,5,R16,147,15,3,85,60,49,15,14,2,2,4,3,115,61,45,24,16,8,12
2026-540,Wimbledon,Grass,128,G,O,20260706,117,C0E9,9,,Flavio Cobolli,R,183,ITA,24.167,10,3460,DH58,5,,Alex de Minaur,R,183,AUS,27.382,6,4110,7-5 7-6(4) 6-3,5,R16,155,3,5,99,55,42,21,17,3,7,5,5,113,57,39,24,16,12,18
2026-540,Wimbledon,Grass,128,G,O,20260706,118,FB98,6,,Taylor Fritz,R,196,USA,28.687,7,3765,BK92,10,,Alexander Bublik,R,196,KAZ,29.052,11,2620,7-6(1) 6-4 6-4,5,R16,98,23,1,93,57,51,20,16,2,3,13,5,85,63,49,7,16,1,4
2026-540,Wimbledon,Grass,128,G,O,20260706,119,F0DM,,WC,Arthur Fery,R,175,GBR,23.984,114,547,D875,,WC,Grigor Dimitrov,R,191,BUL,35.14,146,407,7-5 3-6 4-6 6-4 7-6(7),5,R16,240,6,0,168,102,70,37,26,5,9,18,6,147,98,80,23,27,5,9
2026-540,Wimbledon,Grass,128,G,O,20260707,120,S0AG,1,,Jannik Sinner,R,191,ITA,24.889,1,13450,SL28,,,Jan-Lennard Struff,R,193,GER,36.2,74,804,7-5 7-6(4) 6-3,5,QF,154,16,2,103,68,57,17,16,1,2,12,3,98,50,40,24,15,5,7
2026-540,Wimbledon,Grass,128,G,O,20260707,121,Z355,2,,Alexander Zverev,R,198,GER,29.21,3,7190,L0BV,13,,Jiri Lehecka,R,185,CZE,24.657,14,2360,6-4 7-5 3-6 6-3,5,R16,200,12,3,118,83,68,20,21,7,8,12,3,126,87,66,25,21,4,6
2026-540,Wimbledon,Grass,128,G,O,20260707,122,D643,7,,Novak Djokovic,R,188,SRB,39.127,8,3760,AG37,3,,Felix Auger-Aliassime,R,193,CAN,25.911,29,1680,7-6(10) 3-6 6-3 6-7(4) 7-6(4),5,QF,315,14,6,175,128,94,30,27,2,4,29,5,199,132,105,29,27,11,13
2026-540,Wimbledon,Grass,128,G,O,20260708,123,Z355,2,,Alexander Zverev,R,198,GER,29.216,3,7190,FB98,6,,Taylor Fritz,R,196,USA,28.693,7,3765,6-4 6-4 6-2,5,QF,118,13,2,73,55,41,14,13,4,4,17,2,87,60,42,12,14,2,6
2026-540,Wimbledon,Grass,128,G,O,20260708,124,F0DM,,WC,Arthur Fery,R,175,GBR,23.989,114,547,C0E9,9,,Flavio Cobolli,R,183,ITA,24.172,10,3460,6-4 7-6(4) 6-0,5,QF,133,8,1,82,57,44,16,14,3,4,6,2,96,71,47,7,14,4,9
